verb,voice,mood,tense,flagged_persons,note,auditor,timestamp
absoudre,voix_passive,subjonctif,passe,,Wrong handling of alternative forms and gender agreements.,jacobshing,2026-03-27T15:22:08+00:00
absoudre,voix_passive,subjonctif,plus_que_parfait,1sm;1sf; 2sm;2sf; 3sm;3sf; 1pm;1pf; 2pm;2pf; 3pm;3pf,"Wrong interpretation. the ""ou"" separates two alternative masculine forms. The feminie form is after the comma, with an e after the t.",jacobshing,2026-03-27T15:20:42+00:00
accélérer,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:38:16+00:00
acharner,voix_passive,participe,participe,passe.sm; passe.sf; passe.pm; passe.pf,,jacobshing,2026-03-27T15:25:05+00:00
affaisser,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:44:00+00:00
aigrir,voix_passive,participe,participe,passe.sm; passe.sf; passe.pm; passe.pf,,jacobshing,2026-03-27T15:16:01+00:00
alimenter,voix_passive,participe,participe,passe.sm; passe.sf; passe.pm; passe.pf,,jacobshing,2026-03-27T15:30:52+00:00
aliter,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:45:38+00:00
ameublir,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:42:41+00:00
amincir,voix_passive,participe,participe,passe.sm; passe.sf; passe.pm; passe.pf,,jacobshing,2026-03-27T15:31:03+00:00
aseptiser,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:35:15+00:00
assassiner,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:41:05+00:00
asseoir,voix_active_avoir,imperatif,present,,probably extra space?,jacobshing,2026-03-27T15:29:53+00:00
beugler,voix_passive,participe,participe,passe.sm; passe.sf; passe.pm; passe.pf,,jacobshing,2026-03-27T15:21:16+00:00
bituminer,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:38:14+00:00
blinder,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:50:51+00:00
bloquer,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:37:51+00:00
bosser,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:35:42+00:00
boursoufler,voix_passive,participe,participe,passe.sm; passe.sf; passe.pm; passe.pf,,jacobshing,2026-03-27T15:32:07+00:00
boutonner,voix_passive,participe,participe,passe.sm; passe.sf; passe.pm; passe.pf,,jacobshing,2026-03-27T15:30:48+00:00
brimbaler,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:41:35+00:00
brocheter,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:33:12+00:00
budgétiser,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:52:32+00:00
calfater,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:54:19+00:00
calfeutrer,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:41:16+00:00
camoufler,voix_passive,participe,participe,passe.sm; passe.sf; passe.pm; passe.pf,,jacobshing,2026-03-27T15:30:11+00:00
canonner,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:39:43+00:00
carillonner,voix_passive,participe,participe,passe.sm; passe.sf; passe.pm; passe.pf,,jacobshing,2026-03-27T15:23:09+00:00
cataloguer,voix_passive,participe,participe,passe.sm; passe.sf; passe.pm; passe.pf,Interpretation incorrect. The Passé forms are wrong.,jacobshing,2026-03-27T15:06:36+00:00
cerner,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:39:21+00:00
cesser,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:39:49+00:00
chiper,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:34:26+00:00
choir,voix_active_etre,indicatif,futur_simple,,alternative forms not handled,jacobshing,2026-03-27T12:50:11+00:00
circoncire,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:33:11+00:00
cligner,voix_passive,participe,participe,passe.sm; passe.sf; passe.pm; passe.pf,,jacobshing,2026-03-27T15:31:10+00:00
coaguler,voix_passive,participe,participe,passe.sm; passe.sf; passe.pm; passe.pf,,jacobshing,2026-03-27T15:18:07+00:00
collectiviser,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:51:31+00:00
commercialiser,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:39:01+00:00
conspuer,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:41:28+00:00
contracter,voix_passive,participe,participe,passe.sm; passe.sf; passe.pm; passe.pf,,jacobshing,2026-03-27T15:25:26+00:00
contredire,voix_passive,participe,participe,passe.sm; passe.sf; passe.pm; passe.pf,,jacobshing,2026-03-27T15:25:36+00:00
convier,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:35:51+00:00
coupler,voix_passive,participe,participe,passe.sm; passe.sf; passe.pm; passe.pf,,jacobshing,2026-03-27T15:18:51+00:00
couver,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:39:04+00:00
critiquer,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:36:20+00:00
danser,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:42:31+00:00
dissoudre,voix_passive,indicatif,passe_compose,,wrong forms for feminine,jacobshing,2026-03-27T15:53:54+00:00
dissoudre,voix_passive,subjonctif,imparfait,,,jacobshing,2026-03-27T15:40:46+00:00
dorloter,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:33:22+00:00
doter,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:39:11+00:00
drayer,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:35:16+00:00
déboussoler,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:34:15+00:00
décentrer,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:52:29+00:00
déchausser,voix_passive,participe,participe,passe.sm; passe.sf; passe.pm; passe.pf,,jacobshing,2026-03-27T15:22:54+00:00
déclarer,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:37:09+00:00
décloisonner,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:37:33+00:00
défraîchir,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:45:04+00:00
défroisser,voix_passive,participe,participe,passe.sm; passe.sf; passe.pm; passe.pf,,jacobshing,2026-03-27T15:24:23+00:00
dégommer,voix_active_avoir,participe,participe,,,jacobshing,2026-03-27T15:41:40+00:00
dégrosser,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:45:02+00:00
délatter,voix_passive,participe,participe,passe.sm; passe.sf; passe.pm; passe.pf,,jacobshing,2026-03-27T15:25:40+00:00
déliter,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:35:34+00:00
délocaliser,voix_passive,participe,participe,passe.sm; passe.sf; passe.pm; passe.pf,,jacobshing,2026-03-27T15:15:30+00:00
déléguer,voix_active_avoir,conditionnel,present,3pm;3pf,alternative form missing,jacobshing,2026-03-27T15:51:22+00:00
dénationaliser,voix_passive,participe,participe,passe.sm; passe.sf; passe.pm; passe.pf,,jacobshing,2026-03-27T15:29:35+00:00
dépolir,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:54:10+00:00
dérocher,voix_passive,participe,participe,passe.sm; passe.sf; passe.pm; passe.pf,,jacobshing,2026-03-27T15:31:59+00:00
désembourgeoiser,voix_passive,participe,participe,passe.sm; passe.sf; passe.pm; passe.pf,Interpretation incorrect. The Passé forms are wrong.,jacobshing,2026-03-27T15:13:24+00:00
désemparer,voix_passive,participe,participe,passe.sm; passe.sf; passe.pm; passe.pf,,jacobshing,2026-03-27T15:27:18+00:00
désencadrer,voix_passive,participe,participe,passe.sm; passe.sf; passe.pm; passe.pf,,jacobshing,2026-03-27T15:20:51+00:00
désenneiger,voix_passive,participe,participe,passe.sm; passe.sf; passe.pm; passe.pf,,jacobshing,2026-03-27T15:27:08+00:00
désenrhumer,voix_passive,participe,participe,passe.sm; passe.sf; passe.pm; passe.pf,,jacobshing,2026-03-27T15:27:22+00:00
déshériter,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:53:11+00:00
désoxygéner,voix_passive,participe,participe,passe.sm; passe.sf; passe.pm; passe.pf,Interpretation incorrect. The Passé forms are wrong.,jacobshing,2026-03-27T15:08:44+00:00
désépaissir,voix_passive,participe,participe,passe.sm; passe.sf; passe.pm; passe.pf,,jacobshing,2026-03-27T15:18:47+00:00
détracter,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:38:19+00:00
effaner,voix_passive,participe,participe,passe.sm; passe.sf; passe.pm; passe.pf,,jacobshing,2026-03-27T15:16:05+00:00
effrayer,voix_prono,imperatif,present,2sm;2sf,extra space,jacobshing,2026-03-27T15:22:48+00:00
embouteiller,voix_passive,participe,participe,passe.sm; passe.sf; passe.pm; passe.pf,Interpretation is incorrect. There is only composite past participle.,jacobshing,2026-03-27T15:04:36+00:00
enclore,voix_active_avoir,indicatif,present,3sm;3sf,alternative form not handled,jacobshing,2026-03-27T15:27:38+00:00
enfutailler,voix_passive,participe,participe,passe.sm; passe.sf; passe.pm; passe.pf,,jacobshing,2026-03-27T15:25:54+00:00
engaver,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:39:50+00:00
enherber,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:53:34+00:00
enjôler,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:37:05+00:00
enquiquiner,voix_passive,participe,participe,passe.sm; passe.sf; passe.pm; passe.pf,,jacobshing,2026-03-27T15:27:49+00:00
estoquer,voix_passive,participe,participe,passe.sm; passe.sf; passe.pm; passe.pf,,jacobshing,2026-03-27T15:30:23+00:00
exalter,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:39:30+00:00
excaver,voix_passive,participe,participe,passe.sm; passe.sf; passe.pm; passe.pf,,jacobshing,2026-03-27T15:31:22+00:00
exfolier,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:54:30+00:00
exsuder,voix_passive,participe,participe,passe.sm; passe.sf; passe.pm; passe.pf,,jacobshing,2026-03-27T15:19:03+00:00
fayoter,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:40:03+00:00
festoyer,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:53:26+00:00
feuiller,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:39:40+00:00
gainer,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:39:13+00:00
glacer,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:53:38+00:00
godronner,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:43:27+00:00
gouverner,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:42:43+00:00
grainer,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:33:56+00:00
grasseyer,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:52:05+00:00
grimacer,voix_passive,participe,participe,passe.sm; passe.sf; passe.pm; passe.pf; passe.compound_sm; passe.compound_sf; passe.compound_pm; passe.compound_pf,Interpretation is incorrect,jacobshing,2026-03-27T15:02:33+00:00
hancher,voix_passive,participe,participe,passe.sm; passe.sf; passe.pm; passe.pf,Interpretation incorrect. The Passé forms are wrong.,jacobshing,2026-03-27T15:08:24+00:00
historier,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:43:59+00:00
hybrider,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:43:31+00:00
improuver,voix_passive,participe,participe,passe.sm; passe.sf; passe.pm; passe.pf,Interpretation incorrect. The Passé forms are wrong.,jacobshing,2026-03-27T15:10:08+00:00
inactiver,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:51:46+00:00
inhiber,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:41:34+00:00
interjeter,voix_passive,participe,participe,passe.sm; passe.sf; passe.pm; passe.pf,,jacobshing,2026-03-27T15:28:33+00:00
interpréter,voix_passive,participe,participe,passe.sm; passe.sf; passe.pm; passe.pf,Interpretation incorrect. The Passé forms are wrong.,jacobshing,2026-03-27T15:11:03+00:00
interrompre,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:53:21+00:00
javelliser,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:38:03+00:00
kilométrer,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:35:45+00:00
laitonner,voix_passive,participe,participe,passe.sm; passe.sf; passe.pm; passe.pf,,jacobshing,2026-03-27T15:32:26+00:00
liaisonner,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:36:22+00:00
liquéfier,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:52:13+00:00
manœuvrer,voix_passive,participe,participe,passe.sm; passe.sf; passe.pm; passe.pf,,jacobshing,2026-03-27T15:26:26+00:00
marcotter,voix_passive,participe,participe,passe.sm; passe.sf; passe.pm; passe.pf,Interpretation incorrect. The Passé forms are wrong.,jacobshing,2026-03-27T15:10:40+00:00
marmonner,voix_passive,participe,participe,passe.sm; passe.sf; passe.pm; passe.pf,,jacobshing,2026-03-27T15:22:22+00:00
mazouter,voix_passive,participe,participe,passe.sm; passe.sf; passe.pm; passe.pf,,jacobshing,2026-03-27T15:26:04+00:00
mensualiser,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:40:38+00:00
mirer,voix_passive,participe,participe,passe.sm; passe.sf; passe.pm; passe.pf,,jacobshing,2026-03-27T15:27:14+00:00
moucher,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:40:07+00:00
méconnaitre,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:35:18+00:00
mûrir,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:32:50+00:00
nier,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:34:33+00:00
noyauter,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:42:29+00:00
objecter,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:41:25+00:00
obturer,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:41:20+00:00
ouïr,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:44:56+00:00
pacquer,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:42:42+00:00
pagayer,voix_active_avoir,imperatif,present,2sm;2sf,extra space,jacobshing,2026-03-27T15:33:00+00:00
pardonner,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:42:52+00:00
phosphater,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:35:23+00:00
pigmenter,voix_passive,participe,participe,passe.sm; passe.sf; passe.pm; passe.pf,,jacobshing,2026-03-27T15:31:26+00:00
pistonner,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:52:01+00:00
polycopier,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:43:01+00:00
poncer,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:53:19+00:00
poudrer,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:40:12+00:00
pourlécher,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:53:04+00:00
présenter,voix_passive,participe,participe,passe.sm; passe.sf; passe.pm; passe.pf,,jacobshing,2026-03-27T15:17:57+00:00
psalmodier,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:33:55+00:00
punaiser,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:33:13+00:00
quereller,voix_passive,participe,participe,passe.sm; passe.sf; passe.pm; passe.pf,Interpretation incorrect. The Passé forms are wrong.,jacobshing,2026-03-27T15:09:24+00:00
ranger,voix_passive,participe,participe,passe.sm; passe.sf; passe.pm; passe.pf,,jacobshing,2026-03-27T15:27:57+00:00
ratifier,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:38:32+00:00
recorriger,voix_passive,participe,participe,passe.sm; passe.sf; passe.pm; passe.pf,,jacobshing,2026-03-27T15:31:36+00:00
recouper,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:40:28+00:00
recroître,voix_active_etre,participe,participe,,genders are not separated for composite participles,jacobshing,2026-03-27T12:49:50+00:00
redécouvrir,voix_passive,participe,participe,passe.sm; passe.sf; passe.pm; passe.pf,,jacobshing,2026-03-27T15:25:12+00:00
refendre,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:33:29+00:00
rembourrer,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:41:55+00:00
renfermer,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:42:02+00:00
renflouer,voix_passive,participe,participe,passe.sm; passe.sf; passe.pm; passe.pf,,jacobshing,2026-03-27T15:14:11+00:00
rengager,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:44:30+00:00
rengainer,voix_passive,participe,participe,passe.sm; passe.sf; passe.pm; passe.pf,Interpretation incorrect. The Passé forms are wrong.,jacobshing,2026-03-27T15:13:38+00:00
repaître,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:34:43+00:00
reporter,voix_passive,participe,participe,passe.sm; passe.sf; passe.pm; passe.pf,,jacobshing,2026-03-27T15:20:55+00:00
responsabiliser,voix_passive,participe,participe,passe.sm; passe.sf; passe.pm; passe.pf,,jacobshing,2026-03-27T15:28:59+00:00
ressortir,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:40:27+00:00
retaper,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:35:13+00:00
reterser,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:45:29+00:00
rudoyer,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:43:00+00:00
réchampir,voix_passive,participe,participe,passe.sm; passe.sf; passe.pm; passe.pf,,jacobshing,2026-03-27T15:26:17+00:00
récurer,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:41:18+00:00
réescompter,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:40:14+00:00
réordonner,voix_passive,participe,participe,passe.sm; passe.sf; passe.pm; passe.pf,,jacobshing,2026-03-27T15:28:29+00:00
résorber,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:36:42+00:00
sabrer,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:42:35+00:00
secouer,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:44:36+00:00
segmenter,voix_passive,participe,participe,passe.sm; passe.sf; passe.pm; passe.pf,,jacobshing,2026-03-27T15:16:36+00:00
servir,voix_passive,participe,participe,passe.sm; passe.sf; passe.pm; passe.pf,,jacobshing,2026-03-27T15:16:19+00:00
solidifier,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:38:57+00:00
sous-entendre,voix_passive,participe,participe,passe.sm; passe.sf; passe.pm; passe.pf,,jacobshing,2026-03-27T15:28:50+00:00
stipendier,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:41:27+00:00
stuquer,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:44:58+00:00
styler,voix_passive,participe,participe,passe.sm; passe.sf; passe.pm; passe.pf,,jacobshing,2026-03-27T15:24:38+00:00
subodorer,voix_passive,participe,participe,passe.sm; passe.sf; passe.pm; passe.pf,,jacobshing,2026-03-27T15:23:41+00:00
subroger,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:35:07+00:00
sucer,voix_passive,participe,participe,passe.sm; passe.sf; passe.pm; passe.pf,,jacobshing,2026-03-27T15:25:00+00:00
surhausser,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:39:02+00:00
surjouer,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:36:56+00:00
suspendre,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:38:34+00:00
sédimenter,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:35:43+00:00
tenir,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:43:25+00:00
tolérer,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:44:48+00:00
trahir,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:39:32+00:00
transcender,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:38:17+00:00
trianguler,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:53:30+00:00
télécharger,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:51:48+00:00
unir,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:54:03+00:00
vouer,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:36:52+00:00
écarter,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:33:06+00:00
échoir,voix_active_etre,conditionnel,present,,Alternative form not handled for this tense.,jacobshing,2026-03-27T12:47:57+00:00
échoir,voix_active_etre,indicatif,present,,Alternative forms nto recorded.,jacobshing,2026-03-27T12:36:52+00:00
écouvillonner,voix_passive,participe,participe,passe.sm; passe.sf; passe.pm; passe.pf,,jacobshing,2026-03-27T15:15:57+00:00
électriser,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:52:17+00:00
émarger,voix_passive,participe,participe,passe.sm; passe.sf; passe.pm; passe.pf,,jacobshing,2026-03-27T15:26:47+00:00
émétiser,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:41:19+00:00
épamprer,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:42:45+00:00
époustoufler,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:52:34+00:00
ériger,voix_passive,participe,participe,passe.sm; passe.sf; passe.pm; passe.pf,,jacobshing,2026-03-27T15:23:46+00:00
étançonner,voix_passive,participe,participe,passe.sm; passe.sf; passe.pm; passe.pf,,jacobshing,2026-03-27T15:27:53+00:00
étatiser,voix_passive,participe,participe,passe.sm; passe.sf; passe.pm; passe.pf,,jacobshing,2026-03-27T15:24:34+00:00
étiqueter,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:42:44+00:00
évaluer,voix_passive,participe,participe,passe.sm; passe.sf; passe.pm; passe.pf,,jacobshing,2026-03-27T15:18:02+00:00
